Ngày,Đài,G.8
18/04/2011,Hồ Chí Minh,00
18/04/2011,Đồng Tháp,05
19/04/2011,Bạc Liêu,58
19/04/2011,Bến Tre,15
19/04/2011,Vũng Tàu,49
20/04/2011,Cần Thơ,05
20/04/2011,Sóc Trăng,88
20/04/2011,Đồng Nai,61
21/04/2011,An Giang,07
21/04/2011,Bình Thuận,55
21/04/2011,Tây Ninh,92
22/04/2011,Bình Dương,38
22/04/2011,Trà Vinh,30
22/04/2011,Vĩnh Long,45
23/04/2011,Bình Phước,63
23/04/2011,Hậu Giang,84
23/04/2011,Hồ Chí Minh,37
23/04/2011,Long An,31
24/04/2011,Kiên Giang,99
24/04/2011,Tiền Giang,00
24/04/2011,Đà Lạt,81
25/04/2011,Cà Mau,11
25/04/2011,Hồ Chí Minh,14
25/04/2011,Đồng Tháp,80
26/04/2011,Bạc Liêu,10
26/04/2011,Bến Tre,14
26/04/2011,Vũng Tàu,46
27/04/2011,Cần Thơ,25
27/04/2011,Sóc Trăng,31
27/04/2011,Đồng Nai,55
28/04/2011,An Giang,70
28/04/2011,Bình Thuận,82
28/04/2011,Tây Ninh,31
29/04/2011,Bình Dương,34
29/04/2011,Trà Vinh,94
29/04/2011,Vĩnh Long,77
30/04/2011,Bình Phước,41
30/04/2011,Hậu Giang,41
30/04/2011,Hồ Chí Minh,80
30/04/2011,Long An,99
01/05/2011,Kiên Giang,36
01/05/2011,Tiền Giang,43
01/05/2011,Đà Lạt,31
02/05/2011,Cà Mau,60
02/05/2011,Hồ Chí Minh,70
02/05/2011,Đồng Tháp,97
03/05/2011,Bạc Liêu,74
03/05/2011,Bến Tre,11
03/05/2011,Vũng Tàu,00
04/05/2011,Cần Thơ,87
04/05/2011,Sóc Trăng,40
04/05/2011,Đồng Nai,94
05/05/2011,An Giang,75
05/05/2011,Bình Thuận,03
05/05/2011,Tây Ninh,11
06/05/2011,Bình Dương,14
06/05/2011,Trà Vinh,50
06/05/2011,Vĩnh Long,58
07/05/2011,Bình Phước,34
07/05/2011,Hậu Giang,17
07/05/2011,Hồ Chí Minh,01
07/05/2011,Long An,73
08/05/2011,Kiên Giang,76
08/05/2011,Tiền Giang,78
08/05/2011,Đà Lạt,01
09/05/2011,Cà Mau,50
09/05/2011,Hồ Chí Minh,60
09/05/2011,Đồng Tháp,84
10/05/2011,Bạc Liêu,57
10/05/2011,Bến Tre,09
10/05/2011,Vũng Tàu,40
11/05/2011,Cần Thơ,40
11/05/2011,Sóc Trăng,72
11/05/2011,Đồng Nai,00
12/05/2011,An Giang,57
12/05/2011,Bình Thuận,35
12/05/2011,Tây Ninh,24
13/05/2011,Bình Dương,09
13/05/2011,Trà Vinh,31
13/05/2011,Vĩnh Long,25
14/05/2011,Bình Phước,62
14/05/2011,Hậu Giang,56
14/05/2011,Hồ Chí Minh,61
14/05/2011,Long An,27
15/05/2011,Kiên Giang,30
15/05/2011,Tiền Giang,59
15/05/2011,Đà Lạt,18
16/05/2011,Cà Mau,36
16/05/2011,Hồ Chí Minh,67
16/05/2011,Đồng Tháp,23
17/05/2011,Bạc Liêu,55
17/05/2011,Bến Tre,60
17/05/2011,Vũng Tàu,76
18/05/2011,Cần Thơ,37
18/05/2011,Sóc Trăng,10
18/05/2011,Đồng Nai,35
19/05/2011,An Giang,34
19/05/2011,Bình Thuận,24
19/05/2011,Tây Ninh,00
20/05/2011,Bình Dương,54
20/05/2011,Trà Vinh,06
20/05/2011,Vĩnh Long,20
21/05/2011,Bình Phước,03
21/05/2011,Hậu Giang,32
21/05/2011,Hồ Chí Minh,25
21/05/2011,Long An,68
22/05/2011,Kiên Giang,65
22/05/2011,Đà Lạt,04
23/05/2011,Cà Mau,09
23/05/2011,Hồ Chí Minh,80
24/05/2011,Bạc Liêu,51
24/05/2011,Bến Tre,83
24/05/2011,Vũng Tàu,91
25/05/2011,Cần Thơ,57
25/05/2011,Sóc Trăng,54
25/05/2011,Đồng Nai,66
26/05/2011,An Giang,69
26/05/2011,Bình Thuận,03
26/05/2011,Tây Ninh,19
27/05/2011,Bình Dương,60
27/05/2011,Trà Vinh,30
27/05/2011,Vĩnh Long,27
28/05/2011,Bình Phước,62
28/05/2011,Hậu Giang,94
28/05/2011,Hồ Chí Minh,25
28/05/2011,Long An,96
29/05/2011,Kiên Giang,53
29/05/2011,Tiền Giang,77
29/05/2011,Đà Lạt,35
30/05/2011,Cà Mau,69
30/05/2011,Hồ Chí Minh,62
30/05/2011,Đồng Tháp,65
31/05/2011,Bạc Liêu,99
31/05/2011,Bến Tre,00
31/05/2011,Vũng Tàu,28
01/06/2011,Cần Thơ,71
01/06/2011,Sóc Trăng,84
01/06/2011,Đồng Nai,33
02/06/2011,An Giang,66
02/06/2011,Bình Thuận,85
02/06/2011,Tây Ninh,29
03/06/2011,Bình Dương,29
03/06/2011,Trà Vinh,06
03/06/2011,Vĩnh Long,10
04/06/2011,Bình Phước,68
04/06/2011,Hậu Giang,48
04/06/2011,Hồ Chí Minh,46
04/06/2011,Long An,02
05/06/2011,Kiên Giang,09
05/06/2011,Tiền Giang,68
05/06/2011,Đà Lạt,97
06/06/2011,Cà Mau,05
06/06/2011,Hồ Chí Minh,95
06/06/2011,Đồng Tháp,83
07/06/2011,Bạc Liêu,98
07/06/2011,Bến Tre,73
07/06/2011,Vũng Tàu,96
08/06/2011,Cần Thơ,00
08/06/2011,Sóc Trăng,85
08/06/2011,Đồng Nai,25
09/06/2011,An Giang,22
09/06/2011,Bình Thuận,08
09/06/2011,Tây Ninh,66
10/06/2011,Bình Dương,21
10/06/2011,Trà Vinh,53
10/06/2011,Vĩnh Long,45
11/06/2011,Bình Phước,32
11/06/2011,Hậu Giang,08
11/06/2011,Hồ Chí Minh,61
11/06/2011,Long An,62
12/06/2011,Kiên Giang,46
12/06/2011,Tiền Giang,93
12/06/2011,Đà Lạt,29
13/06/2011,Cà Mau,75
13/06/2011,Hồ Chí Minh,00
13/06/2011,Đồng Tháp,18
14/06/2011,Bạc Liêu,70
14/06/2011,Bến Tre,18
14/06/2011,Vũng Tàu,51
15/06/2011,Cần Thơ,85
15/06/2011,Sóc Trăng,65
15/06/2011,Đồng Nai,37
16/06/2011,An Giang,82
16/06/2011,Bình Thuận,95
16/06/2011,Tây Ninh,76
17/06/2011,Bình Dương,19
17/06/2011,Trà Vinh,29
17/06/2011,Vĩnh Long,19
18/06/2011,Bình Phước,16
18/06/2011,Hậu Giang,22
18/06/2011,Hồ Chí Minh,47
18/06/2011,Long An,30
19/06/2011,Kiên Giang,64
19/06/2011,Tiền Giang,86
19/06/2011,Đà Lạt,06
20/06/2011,Cà Mau,56
20/06/2011,Hồ Chí Minh,64
20/06/2011,Đồng Tháp,37
21/06/2011,Bạc Liêu,83
21/06/2011,Bến Tre,84
21/06/2011,Vũng Tàu,91
22/06/2011,Cần Thơ,43
22/06/2011,Sóc Trăng,56
22/06/2011,Đồng Nai,05
23/06/2011,An Giang,14
23/06/2011,Bình Thuận,73
23/06/2011,Tây Ninh,46
24/06/2011,Bình Dương,61
24/06/2011,Trà Vinh,94
24/06/2011,Vĩnh Long,14
25/06/2011,Bình Phước,20
25/06/2011,Hậu Giang,33
25/06/2011,Hồ Chí Minh,60
25/06/2011,Long An,41
26/06/2011,Kiên Giang,55
26/06/2011,Tiền Giang,28
26/06/2011,Đà Lạt,58
27/06/2011,Cà Mau,60
27/06/2011,Hồ Chí Minh,05
27/06/2011,Đồng Tháp,52
28/06/2011,Bạc Liêu,15
28/06/2011,Bến Tre,09
28/06/2011,Vũng Tàu,53
29/06/2011,Cần Thơ,88
29/06/2011,Sóc Trăng,76
29/06/2011,Đồng Nai,91
30/06/2011,An Giang,85
30/06/2011,Bình Thuận,87
30/06/2011,Tây Ninh,43
01/07/2011,Bình Dương,52
01/07/2011,Trà Vinh,52
01/07/2011,Vĩnh Long,03
02/07/2011,Bình Phước,92
02/07/2011,Hậu Giang,58
02/07/2011,Hồ Chí Minh,85
02/07/2011,Long An,20
03/07/2011,Kiên Giang,84
03/07/2011,Tiền Giang,05
03/07/2011,Đà Lạt,21
04/07/2011,Cà Mau,79
04/07/2011,Hồ Chí Minh,64
04/07/2011,Đồng Tháp,49
05/07/2011,Bạc Liêu,26
05/07/2011,Bến Tre,03
05/07/2011,Vũng Tàu,50
06/07/2011,Cần Thơ,42
06/07/2011,Sóc Trăng,34
06/07/2011,Đồng Nai,40
07/07/2011,An Giang,97
07/07/2011,Bình Thuận,98
07/07/2011,Tây Ninh,23
08/07/2011,Bình Dương,37
08/07/2011,Trà Vinh,81
08/07/2011,Vĩnh Long,98
09/07/2011,Bình Phước,59
09/07/2011,Hậu Giang,63
09/07/2011,Hồ Chí Minh,32
09/07/2011,Long An,76
10/07/2011,Kiên Giang,59
10/07/2011,Tiền Giang,06
10/07/2011,Đà Lạt,81
11/07/2011,Cà Mau,04
11/07/2011,Hồ Chí Minh,47
11/07/2011,Đồng Tháp,30
12/07/2011,Bạc Liêu,01
12/07/2011,Bến Tre,83
12/07/2011,Vũng Tàu,28
13/07/2011,Cần Thơ,36
13/07/2011,Sóc Trăng,02
13/07/2011,Đồng Nai,31
14/07/2011,An Giang,80
14/07/2011,Bình Thuận,93
14/07/2011,Tây Ninh,31
15/07/2011,Bình Dương,45
15/07/2011,Trà Vinh,92
15/07/2011,Vĩnh Long,91
16/07/2011,Bình Phước,24
16/07/2011,Hậu Giang,35
16/07/2011,Hồ Chí Minh,31
16/07/2011,Long An,05
17/07/2011,Kiên Giang,70
17/07/2011,Tiền Giang,85
17/07/2011,Đà Lạt,53
18/07/2011,Cà Mau,58
18/07/2011,Hồ Chí Minh,49
18/07/2011,Đồng Tháp,89
19/07/2011,Bạc Liêu,41
19/07/2011,Bến Tre,93
19/07/2011,Vũng Tàu,19
20/07/2011,Cần Thơ,75
20/07/2011,Sóc Trăng,56
20/07/2011,Đồng Nai,91
21/07/2011,An Giang,96
21/07/2011,Bình Thuận,86
21/07/2011,Tây Ninh,95
22/07/2011,Bình Dương,91
22/07/2011,Trà Vinh,32
22/07/2011,Vĩnh Long,91
23/07/2011,Bình Phước,70
23/07/2011,Hậu Giang,36
23/07/2011,Hồ Chí Minh,22
23/07/2011,Long An,43
24/07/2011,Kiên Giang,43
24/07/2011,Tiền Giang,29
24/07/2011,Đà Lạt,90
25/07/2011,Cà Mau,55
25/07/2011,Hồ Chí Minh,81
25/07/2011,Đồng Tháp,64
26/07/2011,Bạc Liêu,04
26/07/2011,Bến Tre,14
26/07/2011,Vũng Tàu,24
27/07/2011,Cần Thơ,35
27/07/2011,Sóc Trăng,06
27/07/2011,Đồng Nai,61
28/07/2011,An Giang,91
28/07/2011,Bình Thuận,41
28/07/2011,Tây Ninh,06
29/07/2011,Bình Dương,89
29/07/2011,Trà Vinh,27
29/07/2011,Vĩnh Long,18
30/07/2011,Bình Phước,70
30/07/2011,Hậu Giang,23
30/07/2011,Hồ Chí Minh,09
30/07/2011,Long An,33
31/07/2011,Kiên Giang,05
31/07/2011,Tiền Giang,37
31/07/2011,Đà Lạt,65
01/08/2011,Cà Mau,37
01/08/2011,Hồ Chí Minh,62
01/08/2011,Đồng Tháp,91
02/08/2011,Bạc Liêu,14
02/08/2011,Bến Tre,21
02/08/2011,Vũng Tàu,02
03/08/2011,Cần Thơ,40
03/08/2011,Sóc Trăng,53
03/08/2011,Đồng Nai,89
04/08/2011,An Giang,90
04/08/2011,Bình Thuận,16
04/08/2011,Tây Ninh,40
05/08/2011,Bình Dương,96
05/08/2011,Trà Vinh,02
05/08/2011,Vĩnh Long,06
06/08/2011,Bình Phước,00
06/08/2011,Hậu Giang,76
06/08/2011,Hồ Chí Minh,04
06/08/2011,Long An,83
07/08/2011,Kiên Giang,95
07/08/2011,Tiền Giang,27
07/08/2011,Đà Lạt,82
08/08/2011,Cà Mau,00
08/08/2011,Hồ Chí Minh,32
08/08/2011,Đồng Tháp,37
09/08/2011,Bạc Liêu,13
09/08/2011,Bến Tre,49
09/08/2011,Vũng Tàu,64
10/08/2011,Cần Thơ,87
10/08/2011,Sóc Trăng,97
10/08/2011,Đồng Nai,82
11/08/2011,An Giang,15
11/08/2011,Bình Thuận,06
11/08/2011,Tây Ninh,50
12/08/2011,Bình Dương,06
12/08/2011,Trà Vinh,03
12/08/2011,Vĩnh Long,37
13/08/2011,Bình Phước,26
13/08/2011,Hậu Giang,03
13/08/2011,Hồ Chí Minh,74
13/08/2011,Long An,99
14/08/2011,Kiên Giang,56
14/08/2011,Tiền Giang,90
14/08/2011,Đà Lạt,95
15/08/2011,Cà Mau,76
15/08/2011,Hồ Chí Minh,05
15/08/2011,Đồng Tháp,25
16/08/2011,Bạc Liêu,49
16/08/2011,Bến Tre,33
16/08/2011,Vũng Tàu,46
17/08/2011,Cần Thơ,44
17/08/2011,Sóc Trăng,49
17/08/2011,Đồng Nai,68
18/08/2011,An Giang,57
18/08/2011,Bình Thuận,85
18/08/2011,Tây Ninh,87
19/08/2011,Bình Dương,98
19/08/2011,Trà Vinh,16
19/08/2011,Vĩnh Long,26
20/08/2011,Bình Phước,35
20/08/2011,Hậu Giang,22
20/08/2011,Hồ Chí Minh,94
20/08/2011,Long An,04
21/08/2011,Kiên Giang,30
21/08/2011,Tiền Giang,92
21/08/2011,Đà Lạt,51
22/08/2011,Cà Mau,07
22/08/2011,Hồ Chí Minh,00
22/08/2011,Đồng Tháp,81
23/08/2011,Bạc Liêu,29
23/08/2011,Bến Tre,34
23/08/2011,Vũng Tàu,24
24/08/2011,Cần Thơ,97
24/08/2011,Sóc Trăng,77
24/08/2011,Đồng Nai,06
25/08/2011,An Giang,02
25/08/2011,Bình Thuận,08
25/08/2011,Tây Ninh,25
26/08/2011,Bình Dương,83
26/08/2011,Trà Vinh,70
26/08/2011,Vĩnh Long,51
27/08/2011,Bình Phước,13
27/08/2011,Hậu Giang,76
27/08/2011,Hồ Chí Minh,30
27/08/2011,Long An,55
28/08/2011,Kiên Giang,66
28/08/2011,Tiền Giang,16
28/08/2011,Đà Lạt,98
29/08/2011,Cà Mau,25
29/08/2011,Hồ Chí Minh,57
29/08/2011,Đồng Tháp,52
30/08/2011,Bạc Liêu,72
30/08/2011,Bến Tre,19
30/08/2011,Vũng Tàu,77
31/08/2011,Cần Thơ,08
31/08/2011,Sóc Trăng,87
31/08/2011,Đồng Nai,09
01/09/2011,An Giang,37
01/09/2011,Bình Thuận,49
01/09/2011,Tây Ninh,49
02/09/2011,Bình Dương,25
02/09/2011,Trà Vinh,37
02/09/2011,Vĩnh Long,89
03/09/2011,Bình Phước,93
03/09/2011,Hậu Giang,35
03/09/2011,Hồ Chí Minh,23
03/09/2011,Long An,42
04/09/2011,Kiên Giang,07
04/09/2011,Tiền Giang,01
04/09/2011,Đà Lạt,86
05/09/2011,Cà Mau,42
05/09/2011,Hồ Chí Minh,90
05/09/2011,Đồng Tháp,38
06/09/2011,Bạc Liêu,60
06/09/2011,Bến Tre,94
06/09/2011,Vũng Tàu,27
07/09/2011,Cần Thơ,60
07/09/2011,Sóc Trăng,61
07/09/2011,Đồng Nai,29
08/09/2011,An Giang,34
08/09/2011,Bình Thuận,36
08/09/2011,Tây Ninh,65
09/09/2011,Bình Dương,28
09/09/2011,Trà Vinh,68
09/09/2011,Vĩnh Long,40
10/09/2011,Bình Phước,73
10/09/2011,Hậu Giang,95
10/09/2011,Hồ Chí Minh,26
10/09/2011,Long An,87
11/09/2011,Kiên Giang,81
11/09/2011,Tiền Giang,07
11/09/2011,Đà Lạt,57
12/09/2011,Cà Mau,04
12/09/2011,Hồ Chí Minh,47
12/09/2011,Đồng Tháp,95
13/09/2011,Bạc Liêu,71
13/09/2011,Bến Tre,19
13/09/2011,Vũng Tàu,82
14/09/2011,Cần Thơ,83
14/09/2011,Sóc Trăng,44
14/09/2011,Đồng Nai,08
15/09/2011,An Giang,07
15/09/2011,Bình Thuận,73
15/09/2011,Tây Ninh,68
16/09/2011,Bình Dương,60
16/09/2011,Trà Vinh,22
16/09/2011,Vĩnh Long,98
17/09/2011,Bình Phước,71
17/09/2011,Hậu Giang,69
17/09/2011,Hồ Chí Minh,76
17/09/2011,Long An,45
18/09/2011,Kiên Giang,84
18/09/2011,Tiền Giang,37
18/09/2011,Đà Lạt,35
19/09/2011,Cà Mau,67
19/09/2011,Hồ Chí Minh,57
19/09/2011,Đồng Tháp,68
20/09/2011,Bạc Liêu,78
20/09/2011,Bến Tre,83
20/09/2011,Vũng Tàu,77
21/09/2011,Cần Thơ,88
21/09/2011,Sóc Trăng,39
21/09/2011,Đồng Nai,62
22/09/2011,An Giang,22
22/09/2011,Bình Thuận,24
22/09/2011,Tây Ninh,12
23/09/2011,Bình Dương,52
23/09/2011,Trà Vinh,45
23/09/2011,Vĩnh Long,89
24/09/2011,Bình Phước,35
24/09/2011,Hậu Giang,59
24/09/2011,Hồ Chí Minh,28
24/09/2011,Long An,27
25/09/2011,Kiên Giang,63
25/09/2011,Tiền Giang,43
25/09/2011,Đà Lạt,99
26/09/2011,Cà Mau,38
26/09/2011,Hồ Chí Minh,91
26/09/2011,Đồng Tháp,79
27/09/2011,Bạc Liêu,78
27/09/2011,Bến Tre,03
27/09/2011,Vũng Tàu,66
28/09/2011,Cần Thơ,34
28/09/2011,Sóc Trăng,08
28/09/2011,Đồng Nai,52
29/09/2011,An Giang,70
29/09/2011,Bình Thuận,48
29/09/2011,Tây Ninh,41
30/09/2011,Bình Dương,61
30/09/2011,Trà Vinh,11
30/09/2011,Vĩnh Long,40
01/10/2011,Bình Phước,72
01/10/2011,Hậu Giang,80
01/10/2011,Hồ Chí Minh,37
01/10/2011,Long An,76
02/10/2011,Kiên Giang,27
02/10/2011,Tiền Giang,82
02/10/2011,Đà Lạt,45
03/10/2011,Cà Mau,98
03/10/2011,Hồ Chí Minh,65
03/10/2011,Đồng Tháp,42
04/10/2011,Bạc Liêu,07
04/10/2011,Bến Tre,04
04/10/2011,Vũng Tàu,77
05/10/2011,Cần Thơ,91
05/10/2011,Sóc Trăng,53
05/10/2011,Đồng Nai,33
06/10/2011,An Giang,17
06/10/2011,Bình Thuận,24
06/10/2011,Tây Ninh,63
07/10/2011,Bình Dương,95
07/10/2011,Trà Vinh,23
07/10/2011,Vĩnh Long,63
08/10/2011,Bình Phước,20
08/10/2011,Hậu Giang,01
08/10/2011,Hồ Chí Minh,12
08/10/2011,Long An,05
09/10/2011,Kiên Giang,83
09/10/2011,Tiền Giang,36
09/10/2011,Đà Lạt,23
10/10/2011,Cà Mau,79
10/10/2011,Hồ Chí Minh,31
10/10/2011,Đồng Tháp,28
11/10/2011,Bạc Liêu,38
11/10/2011,Bến Tre,56
11/10/2011,Vũng Tàu,11
12/10/2011,Cần Thơ,90
12/10/2011,Sóc Trăng,82
12/10/2011,Đồng Nai,30
13/10/2011,An Giang,14
13/10/2011,Bình Thuận,31
13/10/2011,Tây Ninh,59
14/10/2011,Bình Dương,97
14/10/2011,Trà Vinh,21
14/10/2011,Vĩnh Long,60
15/10/2011,Bình Phước,09
15/10/2011,Hậu Giang,85
15/10/2011,Hồ Chí Minh,26
15/10/2011,Long An,33
16/10/2011,Kiên Giang,28
16/10/2011,Tiền Giang,10
16/10/2011,Đà Lạt,53
17/10/2011,Cà Mau,04
17/10/2011,Hồ Chí Minh,91
17/10/2011,Đồng Tháp,99
18/10/2011,Bạc Liêu,26
18/10/2011,Bến Tre,75
18/10/2011,Vũng Tàu,08
19/10/2011,Cần Thơ,94
19/10/2011,Sóc Trăng,19
19/10/2011,Đồng Nai,56
20/10/2011,An Giang,48
20/10/2011,Bình Thuận,84
20/10/2011,Tây Ninh,29
21/10/2011,Bình Dương,17
21/10/2011,Trà Vinh,46
21/10/2011,Vĩnh Long,38
22/10/2011,Bình Phước,96
22/10/2011,Hậu Giang,36
22/10/2011,Hồ Chí Minh,12
22/10/2011,Long An,78
23/10/2011,Kiên Giang,30
23/10/2011,Tiền Giang,21
23/10/2011,Đà Lạt,28
24/10/2011,Cà Mau,35
24/10/2011,Hồ Chí Minh,86
24/10/2011,Đồng Tháp,90
25/10/2011,Bạc Liêu,29
25/10/2011,Bến Tre,03
25/10/2011,Vũng Tàu,77
26/10/2011,Cần Thơ,62
26/10/2011,Sóc Trăng,64
26/10/2011,Đồng Nai,15
27/10/2011,An Giang,13
27/10/2011,Bình Thuận,08
27/10/2011,Tây Ninh,35
28/10/2011,Bình Dương,40
28/10/2011,Trà Vinh,61
28/10/2011,Vĩnh Long,37
29/10/2011,Bình Phước,33
29/10/2011,Hậu Giang,68
29/10/2011,Hồ Chí Minh,77
29/10/2011,Long An,47
30/10/2011,Kiên Giang,92
30/10/2011,Tiền Giang,86
30/10/2011,Đà Lạt,58
31/10/2011,Cà Mau,59
31/10/2011,Hồ Chí Minh,54
31/10/2011,Đồng Tháp,64
01/11/2011,Bạc Liêu,24
01/11/2011,Bến Tre,05
01/11/2011,Vũng Tàu,44
02/11/2011,Cần Thơ,99
02/11/2011,Sóc Trăng,85
02/11/2011,Đồng Nai,66
03/11/2011,An Giang,60
03/11/2011,Bình Thuận,24
03/11/2011,Tây Ninh,63
04/11/2011,Bình Dương,65
04/11/2011,Trà Vinh,30
04/11/2011,Vĩnh Long,03
05/11/2011,Bình Phước,88
05/11/2011,Hậu Giang,77
05/11/2011,Hồ Chí Minh,56
05/11/2011,Long An,50
06/11/2011,Kiên Giang,65
06/11/2011,Tiền Giang,62
06/11/2011,Đà Lạt,47
07/11/2011,Cà Mau,62
07/11/2011,Hồ Chí Minh,63
07/11/2011,Đồng Tháp,64
08/11/2011,Bạc Liêu,37
08/11/2011,Bến Tre,82
08/11/2011,Vũng Tàu,36
09/11/2011,Cần Thơ,71
09/11/2011,Sóc Trăng,85
09/11/2011,Đồng Nai,02
10/11/2011,An Giang,94
10/11/2011,Bình Thuận,38
10/11/2011,Tây Ninh,83
11/11/2011,Bình Dương,71
11/11/2011,Trà Vinh,98
11/11/2011,Vĩnh Long,65
12/11/2011,Bình Phước,04
12/11/2011,Hậu Giang,64
12/11/2011,Hồ Chí Minh,12
12/11/2011,Long An,88
13/11/2011,Kiên Giang,65
13/11/2011,Tiền Giang,12
13/11/2011,Đà Lạt,55
14/11/2011,Cà Mau,27
14/11/2011,Hồ Chí Minh,73
14/11/2011,Đồng Tháp,75
15/11/2011,Bạc Liêu,98
15/11/2011,Bến Tre,13
15/11/2011,Vũng Tàu,63
16/11/2011,Cần Thơ,48
16/11/2011,Sóc Trăng,27
16/11/2011,Đồng Nai,59
17/11/2011,An Giang,19
17/11/2011,Bình Thuận,74
17/11/2011,Tây Ninh,80
18/11/2011,Bình Dương,32
18/11/2011,Trà Vinh,00
18/11/2011,Vĩnh Long,12
19/11/2011,Bình Phước,31
19/11/2011,Hậu Giang,65
19/11/2011,Hồ Chí Minh,97
19/11/2011,Long An,29
20/11/2011,Kiên Giang,59
20/11/2011,Tiền Giang,42
20/11/2011,Đà Lạt,77
21/11/2011,Cà Mau,98
21/11/2011,Hồ Chí Minh,00
21/11/2011,Đồng Tháp,80
22/11/2011,Bạc Liêu,99
22/11/2011,Bến Tre,94
22/11/2011,Vũng Tàu,33
23/11/2011,Cần Thơ,87
23/11/2011,Sóc Trăng,24
23/11/2011,Đồng Nai,20
24/11/2011,An Giang,14
24/11/2011,Bình Thuận,05
24/11/2011,Tây Ninh,54
25/11/2011,Bình Dương,51
25/11/2011,Trà Vinh,18
25/11/2011,Vĩnh Long,73
26/11/2011,Bình Phước,31
26/11/2011,Hậu Giang,07
26/11/2011,Hồ Chí Minh,17
26/11/2011,Long An,90
27/11/2011,Kiên Giang,25
27/11/2011,Tiền Giang,15
27/11/2011,Đà Lạt,52
28/11/2011,Cà Mau,17
28/11/2011,Hồ Chí Minh,25
28/11/2011,Đồng Tháp,37
29/11/2011,Bạc Liêu,21
29/11/2011,Bến Tre,98
29/11/2011,Vũng Tàu,12
30/11/2011,Cần Thơ,67
30/11/2011,Sóc Trăng,37
30/11/2011,Đồng Nai,83
01/12/2011,An Giang,77
01/12/2011,Bình Thuận,79
01/12/2011,Tây Ninh,16
02/12/2011,Bình Dương,32
02/12/2011,Trà Vinh,26
02/12/2011,Vĩnh Long,63
03/12/2011,Bình Phước,61
03/12/2011,Hậu Giang,42
03/12/2011,Hồ Chí Minh,20
03/12/2011,Long An,22
04/12/2011,Kiên Giang,25
04/12/2011,Tiền Giang,23
04/12/2011,Đà Lạt,15
05/12/2011,Cà Mau,00
05/12/2011,Hồ Chí Minh,17
05/12/2011,Đồng Tháp,56
06/12/2011,Bạc Liêu,90
06/12/2011,Bến Tre,34
06/12/2011,Vũng Tàu,87
07/12/2011,Cần Thơ,31
07/12/2011,Sóc Trăng,22
07/12/2011,Đồng Nai,31
08/12/2011,An Giang,34
08/12/2011,Bình Thuận,07
08/12/2011,Tây Ninh,65
09/12/2011,Bình Dương,68
09/12/2011,Trà Vinh,01
09/12/2011,Vĩnh Long,10
10/12/2011,Bình Phước,07
10/12/2011,Hậu Giang,96
10/12/2011,Hồ Chí Minh,57
10/12/2011,Long An,74
11/12/2011,Kiên Giang,63
11/12/2011,Tiền Giang,89
11/12/2011,Đà Lạt,78
12/12/2011,Cà Mau,28
12/12/2011,Hồ Chí Minh,57
12/12/2011,Đồng Tháp,07
13/12/2011,Bạc Liêu,52
13/12/2011,Bến Tre,86
13/12/2011,Vũng Tàu,05
14/12/2011,Cần Thơ,08
14/12/2011,Sóc Trăng,52
14/12/2011,Đồng Nai,72
15/12/2011,An Giang,53
15/12/2011,Bình Thuận,44
15/12/2011,Tây Ninh,87
16/12/2011,Bình Dương,55
16/12/2011,Trà Vinh,39
16/12/2011,Vĩnh Long,67
17/12/2011,Bình Phước,47
17/12/2011,Hậu Giang,42
17/12/2011,Hồ Chí Minh,31
17/12/2011,Long An,97
18/12/2011,Kiên Giang,93
18/12/2011,Tiền Giang,00
18/12/2011,Đà Lạt,41
19/12/2011,Cà Mau,93
19/12/2011,Hồ Chí Minh,91
19/12/2011,Đồng Tháp,28
20/12/2011,Bạc Liêu,56
20/12/2011,Bến Tre,60
20/12/2011,Vũng Tàu,61
21/12/2011,Cần Thơ,66
21/12/2011,Sóc Trăng,66
21/12/2011,Đồng Nai,94
22/12/2011,An Giang,63
22/12/2011,Bình Thuận,87
22/12/2011,Tây Ninh,48
23/12/2011,Bình Dương,59
23/12/2011,Trà Vinh,40
23/12/2011,Vĩnh Long,87
24/12/2011,Bình Phước,90
24/12/2011,Hậu Giang,43
24/12/2011,Hồ Chí Minh,18
24/12/2011,Long An,11
25/12/2011,Kiên Giang,09
25/12/2011,Tiền Giang,43
25/12/2011,Đà Lạt,71
26/12/2011,Cà Mau,97
26/12/2011,Hồ Chí Minh,38
26/12/2011,Đồng Tháp,47
27/12/2011,Bạc Liêu,52
27/12/2011,Bến Tre,79
27/12/2011,Vũng Tàu,16
28/12/2011,Cần Thơ,93
28/12/2011,Sóc Trăng,16
28/12/2011,Đồng Nai,18
29/12/2011,An Giang,45
29/12/2011,Bình Thuận,23
29/12/2011,Tây Ninh,36
30/12/2011,Bình Dương,08
30/12/2011,Trà Vinh,61
30/12/2011,Vĩnh Long,74
31/12/2011,Bình Phước,99
31/12/2011,Hậu Giang,40
31/12/2011,Hồ Chí Minh,78
31/12/2011,Long An,41
01/01/2012,Kiên Giang,37
01/01/2012,Tiền Giang,95
01/01/2012,Đà Lạt,95
02/01/2012,Cà Mau,29
02/01/2012,Hồ Chí Minh,98
02/01/2012,Đồng Tháp,21
03/01/2012,Bạc Liêu,76
03/01/2012,Bến Tre,24
03/01/2012,Vũng Tàu,21
04/01/2012,Cần Thơ,13
04/01/2012,Sóc Trăng,34
04/01/2012,Đồng Nai,27
05/01/2012,An Giang,08
05/01/2012,Bình Thuận,83
